[2015-10-01 19:16] [PACMAN] Running 'pacman -r /tmp/genbootstrap.5XDFpp/root.i686/ -Sy --noconfirm --config=/tmp/genbootstrap.5XDFpp/pacman.conf arch-install-scripts systemd'
[2015-10-01 19:16] [PACMAN] synchronizing package lists
[2015-10-01 19:16] [ALPM] installed pinentry (0.9.5-2)
[2015-10-01 19:16] [ALPM] installed nettle (3.1.1-1)
[2015-10-01 19:16] [ALPM] installed gnutls (3.4.5-1)
[2015-10-01 19:16] [ALPM] installed gnupg (2.1.8-4)
[2015-10-01 19:16] [ALPM] installed gpgme (1.6.0-1)
[2015-10-01 19:16] [ALPM] installed pacman-mirrorlist (20150923-1)
[2015-10-01 19:16] [ALPM] installed archlinux-keyring (20150605-1)
[2015-10-01 19:16] [ALPM] installed pacman (4.2.1-2)
[2015-10-01 19:16] [ALPM] installed cracklib (2.9.4-1)
[2015-10-01 19:16] [ALPM] installed libtirpc (0.3.2-2)
[2015-10-01 19:16] [ALPM] installed pambase (20130928-1)
[2015-10-01 19:16] [ALPM] installed pam (1.2.1-1)
[2015-10-01 19:16] [ALPM] installed shadow (4.2.1-3)
[2015-10-01 19:16] [ALPM] installed lz4 (131-1)
[2015-10-01 19:16] [ALPM] installed libsystemd (226-3)
[2015-10-01 19:16] [ALPM] installed util-linux (2.27-5)
[2015-10-01 19:16] [ALPM] installed arch-install-scripts (15-1)
[2015-10-01 19:16] [ALPM] installed libdbus (1.10.0-3)
[2015-10-01 19:16] [ALPM] installed dbus (1.10.0-3)
[2015-10-01 19:16] [ALPM] installed iptables (1.4.21-3)
[2015-10-01 19:16] [ALPM] installed kbd (2.0.3-1)
[2015-10-01 19:16] [ALPM] installed kmod (21-2)
[2015-10-01 19:16] [ALPM] installed hwids (20150717-1)
[2015-10-01 19:16] [ALPM] installed libseccomp (2.2.3-1)
[2015-10-01 19:16] [ALPM] installed systemd (226-3)
[2015-10-01 19:16] [ALPM-SCRIPTLET] Initializing machine ID from random generator.
[2015-10-01 19:16] [ALPM-SCRIPTLET] Created symlink from /etc/systemd/system/getty.target.wants/getty@tty1.service to /usr/lib/systemd/system/getty@.service.
[2015-10-01 19:16] [ALPM-SCRIPTLET] Created symlink from /etc/systemd/system/multi-user.target.wants/remote-fs.target to /usr/lib/systemd/system/remote-fs.target.
[2015-10-01 19:16] [ALPM-SCRIPTLET] :: Append 'init=/usr/lib/systemd/systemd' to your kernel command line in your
[2015-10-01 19:16] [ALPM-SCRIPTLET]    bootloader to replace sysvinit with systemd, or install systemd-sysvcompat
[2015-10-01 19:16] [ALPM] transaction completed
